NTA,Average Total Savings,Total Reported Jobs Created,Num who Reported Jobs,Num Companies
Battery Park City-Lower Manhattan,469890.79666666663,0.0,0,9
Bushwick South,26140.454999999998,10.0,1,10
Carroll Gardens-Columbia Street-Red Hook,24337.39,0.0,0,11
College Point,17159.37285714286,2.0,1,7
Crown Heights North,4036.298888888889,0.0,0,9
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.340000000004,0.0,0,10
East New York,62271.119999999995,15.0,1,7
East Williamsburg,13990.626363636366,0.0,0,11
Greenpoint,9753.649285714286,0.0,0,14
Hunters Point-Sunnyside-West Maspeth,24928.54055555556,0.0,0,72
Hunts Point,39246.016153846154,12.0,1,13
Manhattanville,2760.8888888888887,0.0,0,9
Maspeth,6658.283333333333,10.0,1,9
Mott Haven-Port Morris,17843.937857142857,10.0,3,14
Queensbridge-Ravenswood-Long Island City,65952.822,0.0,0,15
SoHo-TriBeCa-Civic Center-Little Italy,37214.024,0.0,0,5
Springfield Gardens South-Brookville,17757.662,0.0,0,5
Steinway,11227.155714285715,20.0,1,7
Sunset Park West,14316.976875,0.0,0,48
park-cemetery-etc-Brooklyn,14327.419333333333,0.0,0,15
